,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,9 days 00:00:00,473555.99304685614,688.1540474681931,508.3850465526348,0.14352322215826963,0.11324356489913427,0.14901441719273514,0.7103857503183465
1,9 days 01:00:00,475850.1416147638,689.8189194381115,509.21540559255766,0.14383667068813474,0.11343830677629058,0.14940327074024412,0.7099363919090997
2,9 days 02:00:00,478591.74117068894,691.8032532235512,510.197673876283,0.1441926695239639,0.11359522836089736,0.14984356552540645,0.7094870334998531
3,9 days 03:00:00,481473.9515298017,693.8832405598233,511.1955660728486,0.14456439231475376,0.11371223604802178,0.15029220962566794,0.7089296209227152
4,9 days 04:00:00,484505.49827775394,696.0642917703464,512.1844399039612,0.1449397818787251,0.11384256745688051,0.15073341309264265,0.708409858947987
5,9 days 05:00:00,487661.533182075,698.327668922029,513.1544138586723,0.14531436541715997,0.11394464525255124,0.15116732579871314,0.7077541874816338
6,9 days 06:00:00,490928.45578077616,700.6628688469057,514.1263452662336,0.1456831259725461,0.11403384042816496,0.15159789281482125,0.7073473773141347
7,9 days 07:00:00,494387.94960763195,703.1272641617817,515.0855407292663,0.14603320067344575,0.11416261900715637,0.15201583065357305,0.7068447570770889
8,9 days 08:00:00,498187.5790645246,705.8240425662225,516.0839476462097,0.14637794499892104,0.11418038805055208,0.15243281773324244,0.7064985551963954
9,9 days 09:00:00,502042.43005650066,708.5495254789892,517.1438458451518,0.14672853136515968,0.11425040391391487,0.15286146694661149,0.7060501150945244
10,9 days 10:00:00,505584.2648372244,711.0444886483717,518.1819190947299,0.1470692260540125,0.11431521801948727,0.1532836937675873,0.7054633166813595
11,9 days 11:00:00,508870.64301362855,713.351696580045,519.155936686672,0.14738155638989298,0.11437522491370314,0.15367951893299056,0.70503446713684
12,9 days 12:00:00,511947.1108461941,715.5047944257216,520.0897132604417,0.14767286900984372,0.11444530537127816,0.15404902494251216,0.7046022504652757
13,9 days 13:00:00,514799.0629733417,717.4949916015732,520.9907154830546,0.14793645330218289,0.11450966247572161,0.15438423551494648,0.7043959374081692
14,9 days 14:00:00,517503.9623322912,719.3774825029562,521.8181047861528,0.1481657350173633,0.11457857510343075,0.15468182968668046,0.7040234107160349
15,9 days 15:00:00,520099.52651128446,721.1792610102459,522.5865798842824,0.14837035779177796,0.11464891277067618,0.1549530520306206,0.7035706851797434
16,9 days 16:00:00,522616.4236504972,722.9221421774943,523.3536874969299,0.1485675975944186,0.11473749019478241,0.15521661139772913,0.7033218238808894
17,9 days 17:00:00,525059.4557724777,724.609864528822,524.1013107232208,0.14876052901626594,0.11492755612587305,0.15547373610258855,0.7032088720736605
18,9 days 18:00:00,527538.8893738943,726.3187243723614,524.8695606570176,0.14896108200033642,0.1150087650037969,0.15573633274555718,0.7028938926437458
19,9 days 19:00:00,530218.0153498022,728.1607070899955,525.7275140368298,0.14918285314813398,0.11514225058046332,0.1560203672104318,0.7023398471936527
20,9 days 20:00:00,533149.916230363,730.1711554357396,526.6920313970286,0.14942857917068522,0.11526838801240752,0.15633123393377954,0.7018660005877166
21,9 days 21:00:00,536147.4622045534,732.2209107943814,527.6608766769378,0.14967820608910237,0.1153022034862691,0.1566503411744018,0.7015926510921735
22,9 days 22:00:00,539309.6205418141,734.3770288767304,528.6895045425907,0.14995183287977806,0.11544822953710362,0.15700036439093568,0.7013447081006955
23,9 days 23:00:00,542647.5811359617,736.6461709233014,529.7525146515062,0.15025152076964637,0.11555022902537093,0.15738663682381263,0.7009305514741894
24,10 days 00:00:00,545916.5490104943,738.8616575587707,530.7050342244795,0.1505573897728211,0.11563617172594888,0.15778318362900945,0.7006317954745812
25,10 days 01:00:00,549548.6622787071,741.3154944277821,531.7032846103551,0.15088759290179185,0.11574210411848801,0.15820347354929945,0.7002347805857576
26,10 days 02:00:00,553161.5572982198,743.7483158288292,532.7095891788625,0.15124151019352047,0.1157940651845478,0.1586358333137794,0.6999360245861495
27,10 days 03:00:00,556923.1861205056,746.2728630470932,533.7122475535523,0.15160491235557577,0.11580177705185665,0.1590635655569128,0.6996798168282887
28,10 days 04:00:00,560789.7532586278,748.8589675356955,534.707698186706,0.151974060619425,0.11581646509599607,0.15948851103447184,0.6994211602507591
29,10 days 05:00:00,564712.6967357325,751.4736833287859,535.6651767885554,0.15233673672546794,0.11586318743090598,0.15990419006676448,0.6992524977960624
30,10 days 06:00:00,568674.7218192751,754.1052458505212,536.6034214026275,0.15268832132698446,0.11591436516708467,0.16031072096616197,0.6992319889313351
31,10 days 07:00:00,572750.21757799,756.8026278878727,537.5438072140829,0.15301902804152667,0.11605211117082348,0.16070571541143674,0.6990584288373004
32,10 days 08:00:00,577064.7513555579,759.6477811167211,538.5140336080402,0.15333964354441224,0.11607306085560816,0.16110146393543517,0.6987449799196788
33,10 days 09:00:00,581555.3899982822,762.5977904493838,539.5949579052873,0.15367847956199124,0.11614232044128694,0.16151841231177486,0.6983791874816337
34,10 days 10:00:00,585882.9254907853,765.4298958694945,540.6920303776585,0.15403092714524716,0.11620465318649828,0.16195123049958113,0.6981615486335586
35,10 days 11:00:00,590032.4846442519,768.1357201980987,541.7208003049287,0.15435918411620897,0.11612379760665431,0.16236601772929085,0.6978857503183465
36,10 days 12:00:00,594010.0409901949,770.7204687759337,542.6824603613574,0.15463970562864962,0.11627988470405942,0.16274569496253186,0.6975239372122637
37,10 days 13:00:00,597933.815228445,773.2618025148048,543.6615731623073,0.15493445193275807,0.11634282057875817,0.1631205034300084,0.6974354736017239
38,10 days 14:00:00,601822.6727197601,775.7723072653213,544.5622637981239,0.15519529789050182,0.11634282057875817,0.16345649015189,0.69713579929474
39,10 days 15:00:00,605796.8402626261,778.3295190744252,545.5012696659801,0.15545725861511583,0.11640772108747412,0.16378943827139494,0.6969867273973944
40,10 days 16:00:00,609802.0332593798,780.8982220874752,546.4580601912103,0.1557175644445139,0.11640772108747412,0.1641177272645726,0.6970767215202273
41,10 days 17:00:00,613802.7882738146,783.4556709053899,547.3991882301059,0.15596584549975404,0.11644170603380713,0.16443349332048182,0.6969236702909197
42,10 days 18:00:00,617903.2359940101,786.0682133212168,548.3921959854862,0.15622537490040087,0.11645142989098471,0.1647570692991619,0.6967338867665785
43,10 days 19:00:00,622059.5951261077,788.707547273454,549.3983981623443,0.15648958168631819,0.1166197757762841,0.16508578193912304,0.6965113502791656
44,10 days 20:00:00,626483.758259622,791.5072698716178,550.5424975353353,0.1567851027809863,0.11678851128962921,0.16544723457324242,0.696075154275639
45,10 days 21:00:00,630999.5593762689,794.3548069825404,551.6884498858867,0.15708875178289297,0.11680870006610704,0.16582074756613685,0.6957846630424135
46,10 days 22:00:00,635637.408792392,797.2687180570877,552.8984123813717,0.15742040298713575,0.11686213298332879,0.16622561235468977,0.6952854099324125
47,10 days 23:00:00,640422.1510404481,800.2638009059564,554.1733266328489,0.15778852735246296,0.11702762662815336,0.1666722675648278,0.6948238074248212
48,11 days 00:00:00,645235.135843091,803.2652960529858,555.3738645024437,0.15816947246800042,0.11713925343708077,0.16712761268314813,0.6944644431384073
49,11 days 01:00:00,649875.084239699,806.148301641639,556.5071340863949,0.15857048313751507,0.11717210931062662,0.1675797763701167,0.6941656871387991
50,11 days 02:00:00,654967.9836197116,809.3009227844186,557.7658628547777,0.15901608682049953,0.11721408041854645,0.16806298698296018,0.6937916299343716
