Local time,Temperature (F),Demand (MWh),Net Generation (MWh),Demand Forecast (MWh),Total Interchange (MWh),hour,dayofweek,quarter,month,year,dayofyear,is_holiday,is_weekend,is_day,Demand (MWh)_lag_1,Demand (MWh)_lag_2,Demand (MWh)_lag_3,Demand (MWh)_lag_6,Demand (MWh)_lag_24,Demand (MWh)_lag_48,Demand (MWh)_lag_168,Season_Fall,Season_Spring,Season_Summer,Season_Winter,ml_prediction
2024-01-01 00:00:00,42,2983.0,7008.0,3046.0,4025.0,0,0,1,1,2024,1,1,0,0,3015.0,3088.0,3126.0,3172.0,2940.0,3001.0,2900.0,False,False,False,True,3007.0247
2024-01-01 01:00:00,41,2944.0,7012.0,2850.0,4068.0,1,0,1,1,2024,1,1,0,0,2983.0,3015.0,3088.0,3282.0,2828.0,2906.0,2815.0,False,False,False,True,2905.5776
2024-01-01 02:00:00,41,2936.0,6975.0,2834.0,4039.0,2,0,1,1,2024,1,1,0,0,2944.0,2983.0,3015.0,3187.0,2800.0,2868.0,2753.0,False,False,False,True,2888.8945
2024-01-01 03:00:00,41,2928.0,7026.0,2838.0,4098.0,3,0,1,1,2024,1,1,0,0,2936.0,2944.0,2983.0,3126.0,2807.0,2835.0,2764.0,False,False,False,True,2890.3762
2024-01-01 04:00:00,41,2905.0,7050.0,2861.0,4145.0,4,0,1,1,2024,1,1,0,0,2928.0,2936.0,2944.0,3088.0,2751.0,2795.0,2760.0,False,False,False,True,2841.1262
2024-01-01 05:00:00,42,2875.0,7026.0,2946.0,4151.0,5,0,1,1,2024,1,1,0,0,2905.0,2928.0,2936.0,3015.0,2765.0,2816.0,2738.0,False,False,False,True,2894.4749
2024-01-01 06:00:00,42,2953.0,7183.0,3060.0,4230.0,6,0,1,1,2024,1,1,0,1,2875.0,2905.0,2928.0,2983.0,2855.0,2919.0,2825.0,False,False,False,True,3118.9292
2024-01-01 07:00:00,42,2994.0,7284.0,3230.0,4290.0,7,0,1,1,2024,1,1,0,1,2953.0,2875.0,2905.0,2944.0,3005.0,3002.0,2900.0,False,False,False,True,3260.4873
2024-01-01 08:00:00,44,3063.0,7372.0,3351.0,4309.0,8,0,1,1,2024,1,1,0,1,2994.0,2953.0,2875.0,2936.0,3086.0,3132.0,3010.0,False,False,False,True,3293.5803
2024-01-01 09:00:00,49,3151.0,7296.0,3320.0,4145.0,9,0,1,1,2024,1,1,0,1,3063.0,2994.0,2953.0,2928.0,3119.0,3166.0,3082.0,False,False,False,True,3257.6619
2024-01-01 10:00:00,54,3250.0,7124.0,3233.0,3874.0,10,0,1,1,2024,1,1,0,1,3151.0,3063.0,2994.0,2905.0,2994.0,3035.0,2985.0,False,False,False,True,3122.078
2024-01-01 11:00:00,57,3280.0,6808.0,3154.0,3528.0,11,0,1,1,2024,1,1,0,1,3250.0,3151.0,3063.0,2875.0,2927.0,2919.0,2927.0,False,False,False,True,3060.9717
2024-01-01 12:00:00,59,3284.0,6066.0,3042.0,2782.0,12,0,1,1,2024,1,1,0,1,3280.0,3250.0,3151.0,2953.0,2873.0,2892.0,2840.0,False,False,False,True,3025.1455
2024-01-01 13:00:00,60,3198.0,6030.0,2942.0,2832.0,13,0,1,1,2024,1,1,0,1,3284.0,3280.0,3250.0,2994.0,2880.0,2839.0,2782.0,False,False,False,True,3025.986
2024-01-01 14:00:00,61,3146.0,5909.0,2854.0,2763.0,14,0,1,1,2024,1,1,0,1,3198.0,3284.0,3280.0,3063.0,2855.0,2802.0,2715.0,False,False,False,True,3013.0085
2024-01-01 15:00:00,62,3140.0,5800.0,2822.0,2660.0,15,0,1,1,2024,1,1,0,1,3146.0,3198.0,3284.0,3151.0,2913.0,2737.0,2648.0,False,False,False,True,3062.0332
2024-01-01 16:00:00,61,3090.0,5836.0,2845.0,2746.0,16,0,1,1,2024,1,1,0,1,3140.0,3146.0,3198.0,3250.0,2943.0,2756.0,2664.0,False,False,False,True,3074.0503
